Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
         De 25 a 29 anos;1.433;745;688;6;3;3;1.427;742;685
         De 30 a 34 anos;1.000;477;523;2;1;1;998;476;522
         De 35 a 39 anos;816;391;425;2; - ;2;814;391;423
         De 40 a 44 anos;661;327;334;1;1; - ;660;326;334
         De 45 a 49 anos;495;231;264;2;1;1;493;230;263
         De 50 a 54 anos;358;177;181; - ; - ; - ;358;177;181
         De 55 a 59 anos;287;145;142;2;1;1;285;144;141
         De 60 a 64 anos;234;109;125;1;1; - ;233;108;125
         De 65 a 69 anos;201;121;80; - ; - ; - ;201;121;80
         De 70 a 74 anos;109;49;60; - ; - ; - ;109;49;60
         De 75 a 79 anos;138;76;62; - ; - ; - ;138;76;62
         De 80 a 84 anos;46;19;27; - ; - ; - ;46;19;27
         De 85 a 89 anos;32;14;18; - ; - ; - ;32;14;18
         De 90 anos y mas;12;4;8; - ; - ; - ;12;4;8
    Guarani Occidental/Pueblo Guarani;4.090;2.055;2.035;2.692;1.334;1.358;1.398;721;677
         De 0 a 4 anos;447;230;217;292;139;153;155;91;64
         De 5 a 9 anos;475;258;217;314;167;147;161;91;70
         De 10 a 14 anos;453;237;216;286;150;136;167;87;80
         De 15 a 19 anos;429;218;211;285;148;137;144;70;74
         De 20 a 24 anos;353;180;173;218;116;102;135;64;71
         De 25 a 29 anos;355;180;175;240;119;121;115;61;54
         De 30 a 34 anos;300;134;166;211;96;115;89;38;51
         De 35 a 39 anos;268;127;141;200;97;103;68;30;38
         De 40 a 44 anos;227;110;117;158;74;84;69;36;33
         De 45 a 49 anos;176;85;91;105;49;56;71;36;35
         De 50 a 54 anos;154;82;72;106;50;56;48;32;16
         De 55 a 59 anos;144;77;67;88;51;37;56;26;30
         De 60 a 64 anos;101;45;56;61;28;33;40;17;23
         De 65 a 69 anos;81;33;48;56;21;35;25;12;13
         De 70 a 74 anos;51;22;29;29;10;19;22;12;10
         De 75 a 79 anos;41;20;21;23;9;14;18;11;7
         De 80 a 84 anos;23;12;11;12;6;6;11;6;5
         De 85 a 89 anos;9;5;4;6;4;2;3;1;2
         De 90 anos y mas;3; - ;3;2; - ;2;1; - ;1
    Guarani Nandeva;3.124;1.584;1.540;404;202;202;2.720;1.382;1.338
         De 0 a 4 anos;332;180;152;47;22;25;285;158;127
         De 5 a 9 anos;314;171;143;43;21;22;271;150;121
         De 10 a 14 anos;349;174;175;61;29;32;288;145;143
         De 15 a 19 anos;327;162;165;41;23;18;286;139;147
         De 20 a 24 anos;363;174;189;50;20;30;313;154;159
         De 25 a 29 anos;265;112;153;34;23;11;231;89;142
         De 30 a 34 anos;235;118;117;29;12;17;206;106;100
         De 35 a 39 anos;225;128;97;21;15;6;204;113;91
         De 40 a 44 anos;188;90;98;20;5;15;168;85;83
         De 45 a 49 anos;139;76;63;12;8;4;127;68;59
         De 50 a 54 anos;94;49;45;12;5;7;82;44;38
         De 55 a 59 anos;93;46;47;11;7;4;82;39;43
         De 60 a 64 anos;63;31;32;10;4;6;53;27;26
