Departamento;Distrito;Area;Comunidad, aldea o barrio, nucleo familiar e individualidades;Familia linguistica del pueblo predominante;Pueblo;Cantidad de viviendas particulares;Cantidad de viviendas colectivas;Poblacion - Total;Poblacion - Varones;Poblacion - Mujeres
 Caazapa ; Yuty ; Rural ; Jesus Tava Pora - Monte Alto ; Guarani ; Mbya Guarani / No indigena ;9; -     ;30;16;14
 Caazapa ; Yuty ; Rural ; Ykua Poty ; Guarani ; Ache / Mbya Guarani / No indigena ;25; -     ;77;44;33
 Itapua ; Encarnacion ; Urbana ; Individualidades de Encarnacion ; Guarani ; Mbya Guarani / Guarani Occidental / Pueblo Guarani / No indigena ;20; -     ;68;34;34
 Itapua ; Encarnacion ; Rural ; Maka - Ita Paso ; Mataco Mataguayo ; Toba Maskoy / Toba Enenlhet / Maka ;11; -     ;34;16;18
 Itapua ; Capitan Meza ; Rural ; Arroyo Kora ; Guarani ; Ava Guarani / Mbya Guarani ;30; -     ;76;40;36
 Itapua ; Carlos Antonio Lopez ; Rural ; Y'aka Marangatu ; Guarani ; Mbya Guarani / Pai Tavytera;32; -     ;119;62;57
 Itapua ; Carlos Antonio Lopez ; Rural ; Arasa Poty ; Guarani ; Mbya Guarani ;36; -     ;124;54;70
 Itapua ; Carlos Antonio Lopez ; Rural ; Ka'aguy Pora - Tirol ; Guarani ; Mbya Guarani / Nivacle ;28; -     ;104;55;49
 Itapua ; Jesus ; Rural ; Kambay ; Guarani ; Mbya Guarani ;29; -     ;101;50;51
 Itapua ; Obligado ; Rural ; Pastoreo ; Guarani ; Mbya Guarani ;41; -     ;117;61;56
 Itapua ; Obligado ; Rural ; Loma Hovy ; Guarani ; Mbya Guarani / No indigena ;14; -     ;39;21;18
 Itapua ; Obligado ; Rural ; Nucleo de Familia Nueva Esperanza ; Guarani ; Mbya Guarani ;3; -     ;19;11;8
 Itapua ; Mayor Julio Dionisio Otano ; Rural ; Tekoha Pora ; Guarani ; Mbya Guarani ;15; -     ;48;24;24
 Itapua ; San Cosme y Damian ; Rural ; Pindo ; Guarani ; Ache / Ava Guarani / Mbya Guarani ;48; -     ;156;85;71
 Itapua ; San Rafael del Parana ; Rural ; Makutinga ; Guarani ; Mbya Guarani ;18; -     ;43;24;19
 Itapua ; San Rafael del Parana ; Rural ; Pykasu Ygua ; Guarani ; Mbya Guarani / Guarani Nandeva ;31; -     ;100;52;48
 Itapua ; San Rafael del Parana ; Rural ; Nucleo de Familias Mbya Guarani de Naranjito ; Guarani ; Mbya Guarani ;19; -     ;62;36;26
 Itapua ; Trinidad ; Rural ; Guavirami ; Guarani ; Mbya Guarani ;67; -     ;197;100;97
 Itapua ; Trinidad ; Rural ; Nu Poty ; Guarani ; Mbya Guarani ;15; -     ;45;21;24
 Itapua ; Edelira ; Rural ; Ka'aguy Poty ; Guarani ; Mbya Guarani ;6; -     ;12;7;5
 Itapua ; Alto Vera ; Rural ; Arroyo Morot? ; Guarani ; Mbya Guarani ;34; -     ;117;57;60
 Itapua ; Alto Vera ; Rural ; Ko'?ju ; Guarani ; Mbya Guarani ;11; -     ;41;22;19
 Itapua ; Alto Vera ; Rural ; Mberu Pirapo'i ; Guarani ; Mbya Guarani ;48; -     ;186;98;88
 Itapua ; Alto Vera ; Rural ; Mboi Ka'? ; Guarani ; Mbya Guarani ;71; -     ;249;130;119
 Itapua ; Alto Vera ; Rural ; Pindo'i ; Guarani ; Mbya Guarani / Guarani Occidental / Pueblo Guarani ;30; -     ;97;55;42
 Itapua ; Alto Vera ; Rural ; Pindoju ; Guarani ; Mbya Guarani ;13; -     ;51;25;26
 Itapua ; Alto Vera ; Rural ; Guapo'y ; Guarani ; Mbya Guarani ;9; -     ;41;23;18
 Itapua ; Alto Vera ; Rural ; Taguato Sauco ; Guarani ; Mbya Guarani ;9; -     ;22;13;9
 Itapua ; Alto Vera ; Rural ; Ysapy'i ; Guarani ; Mbya Guarani ;8; -     ;30;17;13
 Itapua ; Alto Vera ; Rural ; Karumbey Mbarakaju ; Guarani ; Mbya Guarani ;4; -     ;7;5;2
 Itapua ; Alto Vera ; Rural ; Takuarymi ; Guarani ; Mbya Guarani ;15; -     ;47;18;29
 Itapua ; Alto Vera ; Rural ; Pykasu'i ; Guarani ; Mbya Guarani ;6; -     ;24;10;14
 Itapua ; Pirapo ; Rural ; Potrero Guarani ; Guarani ; Mbya Guarani / Nivacle ;30; -     ;105;58;47
 Itapua ; Pirapo ; Rural ; Paraiso ; Guarani ; Mbya Guarani ;9; -     ;19;10;9
 Itapua ; Pirapo ; Rural ; Ka'atymy ; Guarani ; Ava Guarani / Mbya Guarani ;46; -     ;158;77;81
 Itapua ; Pirapo ; Rural ; Manduviju ; Guarani ; Mbya Guarani ;29; -     ;85;39;46
 Itapua ; Pirapo ; Rural ; Nu Hovy Jaguara Sapa ; Guarani ; Ava Guarani / Mbya Guarani / Guarani Nandeva ;23; -     ;74;44;30
 Itapua ; Pirapo ; Rural ; Salto Renda ; Guarani ; Mbya Guarani ;7; -     ;21;13;8
 Itapua ; Itapua Poty ; Rural ; Tapy Savy ; Guarani ; Ava Guarani / Mbya Guarani ;60; -     ;280;142;138
 Itapua ; Itapua Poty ; Rural ; Jukeri ; Guarani ; Mbya Guarani ;28; -     ;133;60;73
 Itapua ; Itapua Poty ; Rural ; Jukeri - Ka'aguy Pora ; Guarani ; Mbya Guarani ;27; -     ;108;51;57
 Itapua ; Itapua Poty ; Rural ; Agosto Poty ; Guarani ; Ava Guarani / Mbya Guarani ;29; -     ;131;73;58
 Paraguari ; Pirayu ; Rural ; Nevanga Renda ; Guarani ; Ache / Ava Guarani / Mbya Guarani / No indigena ;24; -     ;47;25;22
 Paraguari ; Pirayu ; Rural ; Mbokajaty Mir? ; Guarani ; Ava Guarani / No indigena ;21; -     ;69;35;34
 Alto Parana ; Ciudad del Este ; Urbana ; Yvu Pora Renda ; Guarani ; Mbya Guarani ;28; -     ;109;54;55
 Alto Parana ; Ciudad del Este ; Urbana ; Maka - Ciudad Del Este ; Mataco Mataguayo ; Enxet Sur / Maka ;23; -     ;83;42;41
 Alto Parana ; Ciudad del Este ; Urbana ; Carcel - Terminal - Nucleo ; Guarani ; Ava Guarani / Mbya Guarani ;23;1;104;76;28
 Alto Parana ; Ciudad del Este ; Urbana ; Nucleo de Familias Km. 12 Monday ; Guarani ; Ava Guarani / Mbya Guarani ;46; -     ;116;66;50
 Alto Parana ; Presidente Franco ; Rural ; Puerto Bertoni ; Guarani ; Mbya Guarani ;23; -     ;57;23;34
 Alto Parana ; Presidente Franco ; Rural ; Yvyra Moa - Puerto Gimenez ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;13; -     ;45;24;21
 Alto Parana ; Presidente Franco ; Rural ; Puerto Barreto ; Guarani ; Ava Guarani / Mbya Guarani ;23; -     ;79;50;29
 Alto Parana ; Presidente Franco ; Rural ; Puesto Kue - Medio Mundo ; Guarani ; Ava Guarani / Mbya Guarani ;42; -     ;170;75;95
 Alto Parana ; Presidente Franco ; Rural ; 8 de Diciembre ; Guarani ; Ava Guarani / Mbya Guarani ;16; -     ;67;37;30
 Alto Parana ; Presidente Franco ; Rural ; Joyvy Mir? Poty ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;18; -     ;33;22;11
 Alto Parana ; Hernandarias ; Rural ; Acaraymi - Angela Antonia ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;86; -     ;289;140;149
 Alto Parana ; Hernandarias ; Rural ; Acaraymi - San Miguel ; Guarani ; Ava Guarani / No indigena ;48;1;168;83;85
 Alto Parana ; Hernandarias ; Rural ; Acaraymi - Centro ; Guarani ; Ava Guarani / Mbya Guarani ;102; -     ;325;169;156
 Alto Parana ; Hernandarias ; Rural ; Independiente ; Guarani ; Ava Guarani ;40; -     ;132;70;62
 Alto Parana ; Itakyry ; Rural ; Arroyo Guasu - Chopa Cue ; Guarani ; Ava Guarani ;29;1;122;56;66
 Alto Parana ; Itakyry ; Rural ; Arroyo Guasu - Centro ; Guarani ; Ava Guarani / No indigena ;120; -     ;396;201;195
 Alto Parana ; Itakyry ; Rural ; Arroyo Guasu - Pilico kue ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;86; -     ;271;142;129
 Alto Parana ; Itakyry ; Rural ; Jukyry ; Guarani ; Ava Guarani / Mbya Guarani / Nivacle / No indigena ;96; -     ;347;192;155
 Alto Parana ; Itakyry ; Rural ; Ka'a Poty ; Guarani ; Ava Guarani / No indigena ;27; -     ;120;57;63
 Alto Parana ; Itakyry ; Rural ; Ka'aguy Poty ; Guarani ; Ava Guarani / Mbya Guarani ;21; -     ;85;48;37
 Alto Parana ; Itakyry ; Rural ; Ka'aguy Roky ; Guarani ; Ava Guarani ;31; -     ;111;52;59
 Alto Parana ; Itakyry ; Rural ; Ka'aguy Yvate ; Guarani ; Ava Guarani / Mbya Guarani ;30; -     ;98;47;51
 Alto Parana ; Itakyry ; Rural ; Ka'aty Mir? - Formosa ; Guarani ; Ava Guarani / No indigena ;16; -     ;55;25;30
 Alto Parana ; Itakyry ; Rural ; Y'aryty Mir? ; Guarani ; Ava Guarani ;23; -     ;89;51;38
 Alto Parana ; Itakyry ; Rural ; Ko'?ju ; Guarani ; Ava Guarani / No indigena ;60; -     ;213;115;98
 Alto Parana ; Itakyry ; Rural ; Mariscal Lopez ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;126; -     ;377;191;186
 Alto Parana ; Itakyry ; Rural ; Mbokaja'i ; Guarani ; Mbya Guarani ;17; -     ;53;28;25
 Alto Parana ; Itakyry ; Rural ; Paso Cadena ; Guarani ; Ava Guarani / Mbya Guarani ;164; -     ;558;275;283
 Alto Parana ; Itakyry ; Rural ; Y Pora Poty ; Guarani ; Ava Guarani ;44; -     ;158;89;69
 Alto Parana ; Itakyry ; Rural ; Uruku Poty ; Guarani ; Ache / Ava Guarani / No indigena ;32; -     ;132;68;64
 Alto Parana ; Itakyry ; Rural ; Ysat? ; Guarani ; Ava Guarani ;16; -     ;50;31;19
 Alto Parana ; Itakyry ; Rural ; Carreria'i 1 ; Guarani ; Ava Guarani / Mbya Guarani / Nivacle  ;50; -     ;194;105;89
 Alto Parana ; Itakyry ; Rural ; Carreria'i 2 ; Guarani ; Ava Guarani / Nivacle ;24; -     ;70;33;37
 Alto Parana ; Itakyry ; Rural ; Ka'aguy Poty 2 ; Guarani ; Ava Guarani ;45; -     ;177;79;98
 Alto Parana ; Itakyry ; Rural ; Loma Tajy ; Guarani ; Ava Guarani ;28; -     ;76;45;31
 Alto Parana ; Itakyry ; Rural ; Loma Clavel ; Guarani ; Ava Guarani / Mbya Guarani ;38; -     ;150;70;80
 Alto Parana ; Itakyry ; Rural ; Tupa Renda'i ; Guarani ; Ava Guarani / No indigena ;23; -     ;57;27;30
 Alto Parana ; Itakyry ; Rural ; Ka'a Poty 1 ; Guarani ; Ava Guarani / No indigena ;20; -     ;62;27;35
 Alto Parana ; Itakyry ; Rural ; Tajy Poty ; Guarani ; Ava Guarani / Toba Maskoy / Toba Enenlhet ;39; -     ;68;43;25
 Alto Parana ; Itakyry ; Rural ; Arroyo Kupa'y ; Guarani ; Ava Guarani ;20; -     ;65;32;33
 Alto Parana ; Nacunday ; Rural ; Kapi'ibary ; Guarani ; Ava Guarani / Mbya Guarani ;24; -     ;101;47;54
 Alto Parana ; Nacunday ; Rural ; Guayaibi Poty ; Guarani ; Mbya Guarani ;9; -     ;21;14;7
 Alto Parana ; Yguazu ; Rural ; Karanda'y ; Guarani ; Mbya Guarani ;23; -     ;71;36;35
 Alto Parana ; Yguazu ; Rural ; Remanso Toro ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;77; -     ;251;137;114
 Alto Parana ; Yguazu ; Rural ; Puerto Juanita ; Guarani ; Mbya Guarani ;18; -     ;58;27;31
 Alto Parana ; San Cristobal ; Rural ; Ka'a Jovai ; Guarani ; Mbya Guarani / Pai Tavytera/ Guarani Nandeva ;74; -     ;286;151;135
 Alto Parana ; Naranjal ; Rural ; Tapy Puerto Barra ; Guarani ; Ache / No indigena ;72; -     ;294;159;135
 Alto Parana ; Minga Pora ; Rural ; Arroyo Guasu - Arroyo Azul ; Guarani ; Ache / Ava Guarani ;151; -     ;436;212;224
 Alto Parana ; Minga Pora ; Rural ; Arroyo Guasu - Centro ; Guarani ; Ava Guarani ;27; -     ;74;37;37
 Alto Parana ; Minga Pora ; Rural ; Arroyo Guasu - Hugua'i ; Guarani ; Ava Guarani ;71; -     ;264;133;131
 Alto Parana ; Minga Pora ; Rural ; Arroyo Guasu - Caaguazu ; Guarani ; Ava Guarani / Mbya Guarani ;60; -     ;218;116;102
 Alto Parana ; Minga Pora ; Rural ; Tekoha Sauce ; Guarani ; Ava Guarani ;30; -     ;73;39;34
 Alto Parana ; Minga Pora ; Rural ; Cerrito - Ipotapy - Viju ; Guarani ; Ava Guarani / Mbya Guarani / Qom ;30; -     ;85;44;41
 Alto Parana ; Mbaracayu ; Rural ; Kirito - Gleva 10 ; Guarani ; Ava Guarani / Pai Tavytera/ Enxet Sur ;67; -     ;224;113;111
 Alto Parana ; Mbaracayu ; Rural ; Kirito - Pindo ; Guarani ; Ava Guarani ;110; -     ;366;191;175
 Alto Parana ; Mbaracayu ; Rural ; Kirito - Hugua'i ; Guarani ; Ava Guarani ;48; -     ;155;81;74
 Central ; Aregua ; Urbana ; Individuales de Aregua ; Lengua Maskoy ; Sanapana / Guana / No indigena ;19; -     ;56;26;30
 Central ; Capiata ; Urbana ; Individualidades de Capiata ; Zamuco ; Guarani Occidental / Pueblo Guarani / Nivacle / Ybytoso / No indigena ;12; -     ;44;17;27
 Central ; Fernando de La Mora ; Urbana ; Individualidades de Fernando de La Mora ; Guarani ; Guarani Occidental / Pueblo Guarani ;2; -     ;9;6;3
 Central ; Ita ; Rural ; Y'ary Mir? ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;40; -     ;156;80;76
 Central ; Itaugua ; Urbana ; Individualidades de Itaugua ; Mataco Mataguayo ; Nivacle / No indigena ;2; -     ;5;2;3
 Central ; Lambare ; Urbana ; Individualidades de Lambare ; Guarani ; Pai Tavytera/ Guarani Occidental / Pueblo Guarani / No indigena ;13; -     ;56;27;29
 Central ; Limpio ; Urbana ; Individualidades de Limpio ; Guarani ; Ache / Ava Guarani / Mbya Guarani / Guarani Occidental / Pueblo Guarani / Guarani Nandeva / Enlhet Norte / Enxet Sur / Angaite / Guana / Nivacle / Maka / Ybytoso / No indigena ;88;1;242;114;128
 Central ; Luque ; Urbana ; Nueva Esperanza ; Zamuco ; Ava Guarani / Mbya Guarani / Nivacle / Ybytoso / No indigena ;99; -     ;325;157;168
 Central ; Luque ; Urbana ; Yvapovõndy ; Guarani ; Ava Guarani / Ybytoso / No indigena ;23; -     ;83;44;39
 Central ; Luque ; Urbana ; La Virginia ; Guarani ; Ava Guarani / Mbya Guarani / Tomaraho / No indigena ;21; -     ;55;27;28
 Central ; Luque ; Urbana ; Tarumandymi ; Guarani ; Ava Guarani / Mbya Guarani ;58; -     ;251;131;120
 Central ; Luque ; Urbana ; Marin Ka'aguy ; Zamuco ; Nivacle / Ybytoso / No indigena ;9; -     ;21;12;9
 Central ; Luque ; Urbana ; Individualidades de Luque ; Zamuco ; Ava Guarani / Mbya Guarani / Guarani Occidental / Pueblo Guarani / Angaite / Nivacle / Ybytoso / No indigena ;26; -     ;77;31;46
 Central ; Luque ; Urbana ; Nucleo de Familias Clan Kuchingui ; Guarani ; Ache / Ava Guarani / Mbya Guarani / Guarani Occidental / Pueblo Guarani / No indigena ;22; -     ;90;48;42
 Central ; Mariano Roque Alonso ; Urbana ; Maka ; Mataco Mataguayo ; Enlhet Norte / Nivacle / Maka / Qom / No indigena ;318; -     ;1.519;786;733
 Central ; Mariano Roque Alonso ; Urbana ; Individualidades de Mariano Roque Alonso ; Zamuco ; Ava Guarani / Ybytoso ;2; -     ;9;3;6
 Central ; San Antonio ; Urbana ; Individualidades de San Antonio ; Guarani ; Guarani Occidental / Pueblo Guarani / No indigena ;8; -     ;33;17;16
 Central ; San Lorenzo ; Urbana ; Individualidades de San Lorenzo ; Lengua Maskoy ; Mbya Guarani / Toba Maskoy / Toba Enenlhet / Ybytoso ;6; -     ;6;2;4
 Central ; Villa Elisa ; Urbana ; Individualidades de Villa Elisa ; Guarani ; Guarani Occidental / Pueblo Guarani ;5; -     ;13;7;6
 Central ; Villeta ; Urbana ; Takuapu Mir? ; Guarani ; Mbya Guarani / Pai Tavytera/ No indigena ;8; -     ;18;7;11
 Central ; Ypane ; Urbana ; Individualidades de Ypane ; Mataco Mataguayo ; Guarani Occidental / Pueblo Guarani / Nivacle / No indigena ;2; -     ;6;4;2
 Amambay ; Pedro Juan Caballero ; Urbana ; Vy'a Renda ; Guarani ; Pai Tavytera/ No indigena ;12; -     ;45;21;24
 Amambay ; Pedro Juan Caballero ; Rural ; Jasuka Venda - Avakua ; Guarani ; Pai Tavytera;11; -     ;23;11;12
 Amambay ; Pedro Juan Caballero ; Rural ; Jasuka Venda - Karavie Guasu ; Guarani ; Pai Tavytera;17; -     ;46;20;26
 Amambay ; Pedro Juan Caballero ; Rural ; Y'ete Poty ; Guarani ; Pai Tavytera/ Guarani Occidental / Pueblo Guarani / Guarani Nandeva / No indigena ;90; -     ;277;143;134
 Amambay ; Pedro Juan Caballero ; Rural ; Anguja'i Yvangusu ; Guarani ; Pai Tavytera;40; -     ;154;85;69
 Amambay ; Pedro Juan Caballero ; Rural ; Itay Pavusu ; Guarani ; Mbya Guarani / Pai Tavytera/ No indigena ;121; -     ;362;187;175
 Amambay ; Pedro Juan Caballero ; Rural ; Jakaira ; Guarani ; Pai Tavytera;40; -     ;128;60;68
 Amambay ; Pedro Juan Caballero ; Rural ; Jakaira Potrerito ; Guarani ; Pai Tavytera/ No indigena ;34; -     ;101;52;49
 Amambay ; Pedro Juan Caballero ; Rural ; Mba'e Marangatu - Ita Jegua ; Guarani ; Pai Tavytera/ No indigena ;71; -     ;287;148;139
 Amambay ; Pedro Juan Caballero ; Rural ; Mba'e Marangatu - Y'aka Guasu ; Guarani ; Ache / Pai Tavytera;40; -     ;165;85;80
 Amambay ; Pedro Juan Caballero ; Rural ; Mba'e Marangatu - Tajay ; Guarani ; Ache / Pai Tavytera;135; -     ;477;228;249
 Amambay ; Pedro Juan Caballero ; Rural ; Mba'e Nemy ; Guarani ; Pai Tavytera;25; -     ;68;36;32
 Amambay ; Pedro Juan Caballero ; Rural ; Nuapy ; Guarani ; Ache / Ava Guarani / Pai Tavytera/ Guarani Occidental / Pueblo Guarani ;89; -     ;249;127;122
 Amambay ; Pedro Juan Caballero ; Rural ; Pysyry ; Guarani ; Pai Tavytera;60; -     ;176;88;88
 Amambay ; Pedro Juan Caballero ; Rural ; Takuaguyogue Takuara ; Guarani ; Mbya Guarani / Pai Tavytera;72; -     ;182;88;94
 Amambay ; Pedro Juan Caballero ; Rural ; Tava Mboa'e ; Guarani ; Pai Tavytera;157; -     ;384;181;203
 Amambay ; Pedro Juan Caballero ; Rural ; Yvy Ata'i ; Guarani ; Pai Tavytera;36; -     ;86;43;43
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Atyva ; Guarani ; Pai Tavytera;70; -     ;145;74;71
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Campo Flor ; Guarani ; Ava Guarani / Pai Tavytera;51; -     ;174;93;81
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Juruka ; Guarani ; Pai Tavytera/ Enlhet Norte / Nivacle / Manjui / Tomaraho / No indigena ;189; -     ;604;310;294
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Kurijuy ; Guarani ; Pai Tavytera;73; -     ;158;87;71
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Loma'i ; Guarani ; Pai Tavytera;10; -     ;39;22;17
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Y'ete Mir? ; Guarani ; Pai Tavytera;23; -     ;51;29;22
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Tatu Kaita ; Guarani ; Pai Tavytera;71; -     ;163;79;84
 Amambay ; Pedro Juan Caballero ; Rural ; Yvypyte - Yjevy ; Guarani ; Pai Tavytera;29; -     ;68;32;36
 Amambay ; Pedro Juan Caballero ; Rural ; Mbokaja'i ; Guarani ; Mbya Guarani / Pai Tavytera/ Nivacle / No indigena ;47; -     ;148;84;64
 Amambay ; Pedro Juan Caballero ; Rural ; Pirary ; Guarani ; Pai Tavytera;296; -     ;902;473;429
 Amambay ; Bella Vista ; Rural ; Apyka Jegua ; Guarani ; Pai Tavytera;34; -     ;57;30;27
 Amambay ; Bella Vista ; Rural ; Cerro Akangue ; Guarani ; Mbya Guarani / Pai Tavytera;188; -     ;509;258;251
 Amambay ; Bella Vista ; Rural ; Ita Jevaka ; Guarani ; Pai Tavytera;142; -     ;484;240;244
 Amambay ; Bella Vista ; Rural ; Apyka Rendy'i ; Guarani ; Pai Tavytera;30; -     ;46;22;24
 Amambay ; Bella Vista ; Rural ; Yvyty Rovi Cerro Amambay ; Guarani ; Pai Tavytera;13; -     ;51;23;28
 Amambay ; Bella Vista ; Rural ; Guyra Ne'?ngatu Amba ; Guarani ; Pai Tavytera;32; -     ;115;56;59
 Amambay ; Bella Vista ; Rural ; Sat? - Pa? Renda Chiru Poty ; Guarani ; Pai Tavytera/ Nivacle / No indigena ;53; -     ;181;92;89
 Amambay ; Bella Vista ; Rural ; Arroyo Ka'a ; Guarani ; Pai Tavytera;54; -     ;151;75;76
 Amambay ; Bella Vista ; Rural ; Yvy Oka ; Guarani ; Pai Tavytera;41; -     ;124;64;60
 Amambay ; Capitan Bado ; Rural ; Guarani Paso Historia ; Guarani ; Ava Guarani / Pai Tavytera/ No indigena ;52; -     ;186;100;86
 Amambay ; Capitan Bado ; Rural ; Ita Poty ; Guarani ; Pai Tavytera;51; -     ;158;84;74
 Amambay ; Capitan Bado ; Rural ; Itaju - Itaju ; Guarani ; Pai Tavytera;25; -     ;86;40;46
 Amambay ; Capitan Bado ; Rural ; Itaju - Paso Lima ; Guarani ; Pai Tavytera;26; -     ;82;48;34
 Amambay ; Capitan Bado ; Rural ; Mbarakay ; Guarani ; Pai Tavytera;44; -     ;144;74;70
 Amambay ; Capitan Bado ; Rural ; Piraymi ; Guarani ; Ava Guarani / Pai Tavytera/ Guarani Occidental / Pueblo Guarani / No indigena ;101; -     ;407;195;212
 Amambay ; Capitan Bado ; Rural ; Tavytera ; Guarani ; Pai Tavytera;111; -     ;379;194;185
 Amambay ; Capitan Bado ; Rural ; Takuaju Poty ; Guarani ; Ava Guarani / Pai Tavytera;46; -     ;166;88;78
 Amambay ; Capitan Bado ; Rural ; Potrero Novillo ; Guarani ; Ava Guarani / Mbya Guarani ;11; -     ;47;20;27
 Amambay ; Capitan Bado ; Rural ; Itay ; Guarani ; Ava Guarani / Pai Tavytera;25; -     ;58;27;31
 Amambay ; Capitan Bado ; Rural ; Nandejara Guerovy'a Pav? ; Guarani ; Pai Tavytera;51; -     ;196;100;96
 Amambay ; Capitan Bado ; Rural ; Nepu'a Pyahu ; Guarani ; Pai Tavytera;53; -     ;160;83;77
 Amambay ; Capitan Bado ; Rural ; Nucleo de Familias Pai Tavytera; Guarani ; Ava Guarani / Pai Tavytera;15; -     ;54;26;28
 Amambay ; Zanja Pyta ; Rural ; Y Morot? ; Guarani ; Pai Tavytera/ Guarani Occidental / Pueblo Guarani ;27; -     ;95;42;53
 Amambay ; Cerro Cora ; Rural ; Ita Guasu ; Guarani ; Pai Tavytera;142; -     ;411;198;213
 Amambay ; Cerro Cora ; Rural ; Jaguat? ; Guarani ; Pai Tavytera/ Nivacle ;131; -     ;423;221;202
 Amambay ; Cerro Cora ; Rural ; Jakaira ; Guarani ; Ava Guarani / Pai Tavytera;68; -     ;201;107;94
 Amambay ; Cerro Cora ; Rural ; Tanambiy ; Guarani ; Pai Tavytera/ No indigena ;44; -     ;156;78;78
 Amambay ; Cerro Cora ; Rural ; Pikykua - Pikykua ; Guarani ; Mbya Guarani / Pai Tavytera/ No indigena ;100; -     ;349;169;180
 Amambay ; Cerro Cora ; Rural ; Pikykua - Cerro Pa'? ; Guarani ; Pai Tavytera;73; -     ;256;135;121
 Amambay ; Cerro Cora ; Rural ; Pikykua - Arroyo Guasu ; Guarani ; Pai Tavytera;54; -     ;153;90;63
 Amambay ; Cerro Cora ; Rural ; Pirity ; Guarani ; Pai Tavytera;62; -     ;208;103;105
 Amambay ; Cerro Cora ; Rural ; Tajy ; Guarani ; Mbya Guarani / Pai Tavytera;102; -     ;276;132;144
 Amambay ; Cerro Cora ; Rural ; Yvy Ata'i ; Guarani ; Mbya Guarani / Pai Tavytera;127; -     ;346;165;181
 Amambay ; Cerro Cora ; Rural ; Avarendiju ; Guarani ; Pai Tavytera;21; -     ;38;18;20
 Canindeyu ; Salto del Guaira ; Rural ; Guyra Keha Guavira ; Guarani ; Ava Guarani ;27; -     ;76;36;40
 Canindeyu ; Corpus Christi ; Rural ; Arroz Tygue ; Guarani ; Ava Guarani ;15; -     ;39;19;20
 Canindeyu ; Corpus Christi ; Rural ; Felicidad ; Guarani ; Ava Guarani ;45; -     ;122;67;55
 Canindeyu ; Corpus Christi ; Rural ; Nu'i ; Guarani ; Ava Guarani / No indigena ;14; -     ;45;23;22
 Canindeyu ; Corpus Christi ; Rural ; Ynambu Ygua ; Guarani ; Ava Guarani ;35; -     ;94;40;54
 Canindeyu ; Corpus Christi ; Rural ; Laguna Hovy ; Guarani ; Ava Guarani ;34; -     ;58;28;30
 Canindeyu ; Corpus Christi ; Rural ; Y'apo ; Guarani ; Ava Guarani ;93; -     ;254;130;124
 Canindeyu ; Corpus Christi ; Rural ; Y'apo 90 ; Guarani ; Ache / Ava Guarani ;75; -     ;250;133;117
 Canindeyu ; Corpus Christi ; Rural ; Kola'i ; Guarani ; Ava Guarani / No indigena ;23; -     ;68;37;31
 Canindeyu ; Corpus Christi ; Rural ; 3 Nacientes ; Guarani ; Ava Guarani ;25; -     ;54;33;21
 Canindeyu ; Corpus Christi ; Rural ; 3 Rios Tajy ; Guarani ; Ava Guarani / No indigena ;30; -     ;75;43;32
 Canindeyu ; Villa Curuguaty ; Urbana ; Individualidades de Curuguaty ; Guarani ; Ava Guarani / Mbya Guarani / Pai Tavytera;67; -     ;79;37;42
 Canindeyu ; Villa Curuguaty ; Rural ; 1° De Marzo ; Guarani ; Ava Guarani ;61; -     ;141;63;78
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - San Francisco ; Guarani ; Ava Guarani / No indigena ;27; -     ;100;50;50
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - 12 de Junio ; Guarani ; Ava Guarani / No indigena ;48; -     ;173;97;76
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - San Lorenzo ; Guarani ; Ache / Ava Guarani / No indigena ;110; -     ;366;171;195
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - Primavera ; Guarani ; Ava Guarani / Mbya Guarani / No indigena ;162; -     ;558;263;295
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - Jukyry ; Guarani ; Ava Guarani / Mbya Guarani ;37; -     ;135;64;71
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - Yataity ; Guarani ; Ava Guarani / Mbya Guarani ;85; -     ;251;135;116
 Canindeyu ; Villa Curuguaty ; Rural ; Fortuna - Cordillera ; Guarani ; Ava Guarani / Guarani Occidental / Pueblo Guarani / No indigena ;188; -     ;553;291;262
 Canindeyu ; Villa Curuguaty ; Rural ; Isla Jovai ; Guarani ; Ava Guarani ;15; -     ;55;28;27
