provincia	pueblo	personas
Santiago del Estero	Tehuelche	52
Santiago del Estero	Moqoit/Mocoví	45
Santiago del Estero	Avipón	39
Santiago del Estero	Atacama	37
Santiago del Estero	Aymara	33
Santiago del Estero	Mapuche Tehuelche	20
Santiago del Estero	Charrúa	18
Santiago del Estero	Ranquel	18
Santiago del Estero	Chicha	11
Santiago del Estero	Huarpe	10
Santiago del Estero	Aoniken	5
Santiago del Estero	Chané	4
Santiago del Estero	Mbya Guaraní	4
Santiago del Estero	Selk´Nam/Ona	4
Santiago del Estero	Chorote	3
Santiago del Estero	Günün A Küna	3
Santiago del Estero	Omaguaca	3
Santiago del Estero	Pilagá	3
Santiago del Estero	Chana	2
Santiago del Estero	Corundí	2
Santiago del Estero	Yagán	2
Santiago del Estero	Fiscara	1
Santiago del Estero	Iogys	1
Santiago del Estero	Isoceño	1
Santiago del Estero	Kolla Atacameño	1
Santiago del Estero	Ocloya	1
Santiago del Estero	Tastil	1
Santiago del Estero	Tilián	1
Santiago del Estero	Weenhayek	1
Santiago del Estero	Sin información	8966
Tierra del Fuego	Mapuche	1014
Tierra del Fuego	Diaguita	733
Tierra del Fuego	Selk´Nam/Ona	610
Tierra del Fuego	Kolla	357
Tierra del Fuego	Quechua	345
Tierra del Fuego	Guaraní	316
Tierra del Fuego	Mapuche Tehuelche	167
Tierra del Fuego	Qom/Toba	144
Tierra del Fuego	Tehuelche	142
Tierra del Fuego	Yagán	122
Tierra del Fuego	Comechingón	93
Tierra del Fuego	Huarpe	93
Tierra del Fuego	Wichi	86
Tierra del Fuego	Aymara	64
Tierra del Fuego	Omaguaca	55
Tierra del Fuego	Charrúa	34
Tierra del Fuego	Ranquel	34
Tierra del Fuego	Moqoit/Mocoví	26
Tierra del Fuego	Atacama	15
Tierra del Fuego	Aoniken	14
Tierra del Fuego	Tonokoté	12
Tierra del Fuego	Mbya Guaraní	7
Tierra del Fuego	Günün A Küna	6
Tierra del Fuego	Ocloya	6
Tierra del Fuego	Sanavirón	6
Tierra del Fuego	Haush/Maneken	5
Tierra del Fuego	Wayteca/Chono	4
Tierra del Fuego	Alakaluf	3
Tierra del Fuego	Chana	3
Tierra del Fuego	Diaguita Cacano	3
Tierra del Fuego	Guaycurú	3
Tierra del Fuego	Lule Vilela	3
Tierra del Fuego	Querandí	3
Tierra del Fuego	Vilela	3
Tierra del Fuego	Chané	2
Tierra del Fuego	Chorote	2
Tierra del Fuego	Kolla Atacameño	2
Tierra del Fuego	Lule	2
Tierra del Fuego	Toara	2
Tierra del Fuego	Avipón	1
Tierra del Fuego	Chicha	1
Tierra del Fuego	Chulupí/Nivaclé	1
Tierra del Fuego	Isoceño	1
Tierra del Fuego	Sin información	1397
Tucumán	Diaguita	20096
Tucumán	Kolla	503
Tucumán	Quechua	442
Tucumán	Lule	437
Tucumán	Guaraní	326
Tucumán	Mapuche	319
Tucumán	Wichi	294
Tucumán	Qom/Toba	222
Tucumán	Tonokoté	211
Tucumán	Aymara	158
Tucumán	Diaguita Cacano	71
Tucumán	Atacama	63
Tucumán	Omaguaca	60
Tucumán	Tehuelche	53
Tucumán	Comechingón	46
Tucumán	Mapuche Tehuelche	41
Tucumán	Moqoit/Mocoví	34
Tucumán	Lule Vilela	31
Tucumán	Charrúa	29
Tucumán	Huarpe	27
Tucumán	Chicha	18
Tucumán	Sanavirón	17
Tucumán	Avipón	10
Tucumán	Chorote	10
Tucumán	Ranquel	10
Tucumán	Chané	9
Tucumán	Kolla Atacameño	8
Tucumán	Chana	7
Tucumán	Mbya Guaraní	6
Tucumán	Guaycurú	4
Tucumán	Günün A Küna	4
Tucumán	Ocloya	3
Tucumán	Aoniken	2
Tucumán	Selk´Nam/Ona	2
Tucumán	Vilela	2
Tucumán	Chulupí/Nivaclé	1
Tucumán	Querandí	1
Tucumán	Tastil	1
Tucumán	Tilián	1
Tucumán	Sin información	14067
